Year,Population,Violent Crime,Violent Crime Rate,Murder and nonegligent manslaughter,Murder and nonegligent manslaughter rate,Rape (legacy definition),Rape (legacy definition) rate,Robbery,Robbery Rate,Aggravated Assault,Aggravated Assault Rate,Property Crime,Property Crime Rate,Burglary,Burglary Rate,Larceny-Theft,Larceny-Theft Rate,Motor Vehicle Theft,Motor Vehicle Theft Rate
2013-12-31,316128839.0,1163146.0,367.9,14196.0,4.5,79770.0,25.2,345031.0,109.1,724149.0,229.1,8632512.0,2730.7,1928465.0,610.0,6004453.0,1899.4,699594.0,221.3
2012-12-31,313873685.0,1217057.0,387.8,14856.0,4.7,85141.0,27.1,355051.0,113.1,762009.0,242.8,9001992.0,2868.0,2109932.0,672.2,6168874.0,1965.4,723186.0,230.4
2011-12-31,311587816.0,1206005.0,387.1,14661.0,4.7,84175.0,27.0,354746.0,113.9,752423.0,241.5,9052743.0,2905.4,2185140.0,701.3,6151095.0,1974.1,716508.0,230.0
2010-12-31,309330219.0,1251248.0,404.5,14722.0,4.8,85593.0,27.7,369089.0,119.3,781844.0,252.8,9112625.0,2945.9,2168459.0,701.0,6204601.0,2005.8,739565.0,239.1
2009-12-31,307006550.0,1325896.0,431.9,15399.0,5.0,89241.0,29.1,408742.0,133.1,812514.0,264.7,9337060.0,3041.3,2203313.0,717.7,6338095.0,2064.5,795652.0,259.2
2008-12-31,304059724.0,1394461.0,458.6,16465.0,5.4,90750.0,29.8,443563.0,145.9,843683.0,277.5,9774152.0,3214.6,2228887.0,733.0,6586206.0,2166.1,959059.0,315.4
2007-12-31,301621157.0,1422970.0,471.8,17128.0,5.7,92160.0,30.6,447324.0,148.3,866358.0,287.2,9882212.0,3276.4,2190198.0,726.1,6591542.0,2185.4,1100472.0,364.9
2006-12-31,299398484.0,1435123.0,479.3,17309.0,5.8,94472.0,31.6,449246.0,150.0,874096.0,292.0,10019601.0,3346.6,2194993.0,733.1,6626363.0,2213.2,1198245.0,400.2
2005-12-31,296507061.0,1390745.0,469.0,16740.0,5.6,94347.0,31.8,417438.0,140.8,862220.0,290.8,10174754.0,3431.5,2155448.0,726.9,6783447.0,2287.8,1235859.0,416.8
2004-12-31,293656842.0,1360088.0,463.2,16148.0,5.5,95089.0,32.4,401470.0,136.7,847381.0,288.6,10319386.0,3514.1,2144446.0,730.3,6937089.0,2362.3,1237851.0,421.5
2003-12-31,290788976.0,1383676.0,475.8,16528.0,5.7,93883.0,32.3,414235.0,142.5,859030.0,295.4,10442862.0,3591.2,2154834.0,741.0,7026802.0,2416.5,1261226.0,433.7
2002-12-31,287973924.0,1423677.0,494.4,16229.0,5.6,95235.0,33.1,420806.0,146.1,891407.0,309.5,10455277.0,3630.6,2151252.0,747.0,7057379.0,2450.7,1246646.0,432.9
2001-12-31,285317559.0,1439480.0,504.5,16037.0,5.6,90863.0,31.8,423557.0,148.5,909023.0,318.6,10437189.0,3658.1,2116531.0,741.8,7092267.0,2485.7,1228391.0,430.5
2000-12-31,281421906.0,1425486.0,506.5,15586.0,5.5,90178.0,32.0,408016.0,145.0,911706.0,324.0,10182584.0,3618.3,2050992.0,728.8,6971590.0,2477.3,1160002.0,412.2
1999-12-31,272690813.0,1426044.0,523.0,15522.0,5.7,89411.0,32.8,409371.0,150.1,911740.0,334.3,10208334.0,3743.6,2100739.0,770.4,6955520.0,2550.7,1152075.0,422.5
1998-12-31,270248003.0,1533887.0,567.6,16974.0,6.3,93144.0,34.5,447186.0,165.5,976583.0,361.4,10951827.0,4052.5,2332735.0,863.2,7376311.0,2729.5,1242781.0,459.9
1997-12-31,267783607.0,1636096.0,611.0,18208.0,6.8,96153.0,35.9,498534.0,186.2,1023201.0,382.1,11558475.0,4316.3,2460526.0,918.8,7743760.0,2891.8,1354189.0,505.7
1996-12-31,265228572.0,1688540.0,636.6,19645.0,7.4,96252.0,36.3,535594.0,201.9,1037049.0,391.0,11805323.0,4451.0,2506400.0,945.0,7904685.0,2980.3,1394238.0,525.7
